"ID"	"adm_1_name"	"adm_2_name"	"full_name"	"FAO_GAUL_code"	"adm2_std"	"adm1_std"	"ADM2_PCODE"
600	"CESAR"	"RIO DE ORO"	"COLOMBIA, CESAR, RIO DE ORO"	13777	"rio de oro"	"cesar"	"CO20614"
601	"SANTANDER"	"LA BELLEZA"	"COLOMBIA, SANTANDER, LA BELLEZA"	14250	"la belleza"	"santander"	"CO68377"
602	"SUCRE"	"CHALAN"	"COLOMBIA, SUCRE, CHALAN"	14295	"chalan"	"sucre"	"CO70230"
603	"ANTIOQUIA"	"CAREPA"	"COLOMBIA, ANTIOQUIA, CAREPA"	13371	"carepa"	"antioquia"	"CO05147"
604	"ANTIOQUIA"	"VALPARAISO"	"COLOMBIA, ANTIOQUIA, VALPARAISO"	13458	"valparaiso"	"antioquia"	"CO05856"
605	"VALLE"	"YOTOCO"	"COLOMBIA, VALLE, YOTOCO"	14405	"yotoco"	"valle"	"CO76890"
606	"ANTIOQUIA"	"SONSON"	"COLOMBIA, ANTIOQUIA, SONSON"	13446	"sonson"	"antioquia"	"CO05756"
607	"TOLIMA"	"CAJAMARCA"	"COLOMBIA, TOLIMA, CAJAMARCA"	14324	"cajamarca"	"tolima"	"CO73124"
608	"ANTIOQUIA"	"SAN RAFAEL"	"COLOMBIA, ANTIOQUIA, SAN RAFAEL"	13438	"san rafael"	"antioquia"	"CO05667"
609	"BOLIVAR"	"MARGARITA"	"COLOMBIA, BOLIVAR, MARGARITA"	13512	"margarita"	"bolivar"	"CO13440"
610	"BOLIVAR"	"TALAIGUA NUEVO"	"COLOMBIA, BOLIVAR, TALAIGUA NUEVO"	13530	"talaigua nuevo"	"bolivar"	"CO13780"
611	"NARINO"	"LEIVA"	"COLOMBIA, NARINO, LEIVA"	14093	"leiva"	"narino"	"CO52405"
612	"SANTANDER"	"SAN MIGUEL"	"COLOMBIA, SANTANDER, SAN MIGUEL"	14278	"san miguel"	"santander"	"CO68686"
613	"TOLIMA"	"CUNDAY"	"COLOMBIA, TOLIMA, CUNDAY"	14330	"cunday"	"tolima"	"CO73226"
614	"SANTANDER"	"VETAS"	"COLOMBIA, SANTANDER, VETAS"	14290	"vetas"	"santander"	"CO68867"
615	"NORTE SANTANDER"	"LOURDES"	"COLOMBIA, NORTE SANTANDER, LOURDES"	14147	"lourdes"	"norte santander"	"CO54418"
616	"ANTIOQUIA"	"REMEDIOS"	"COLOMBIA, ANTIOQUIA, REMEDIOS"	13423	"remedios"	"antioquia"	"CO05604"
617	"ANTIOQUIA"	"YOLOMBO"	"COLOMBIA, ANTIOQUIA, YOLOMBO"	13464	"yolombo"	"antioquia"	"CO05890"
618	"ANTIOQUIA"	"EL BAGRE"	"COLOMBIA, ANTIOQUIA, EL BAGRE"	13384	"el bagre"	"antioquia"	"CO05250"
619	"SANTANDER"	"LA PAZ"	"COLOMBIA, SANTANDER, LA PAZ"	14251	"la paz"	"santander"	"CO68397"
620	"CUNDINAMARCA"	"ZIPAQUIRA"	"COLOMBIA, CUNDINAMARCA, ZIPAQUIRA"	13950	"zipaquira"	"cundinamarca"	"CO25899"
621	"BOYACA"	"CHIQUINQUIRA"	"COLOMBIA, BOYACA, CHIQUINQUIRA"	13551	"chiquinquira"	"boyaca"	"CO15176"
622	"ANTIOQUIA"	"DABEIBA"	"COLOMBIA, ANTIOQUIA, DABEIBA"	13381	"dabeiba"	"antioquia"	"CO05234"
623	"ANTIOQUIA"	"HELICONIA"	"COLOMBIA, ANTIOQUIA, HELICONIA"	13396	"heliconia"	"antioquia"	"CO05347"
624	"META"	"MAPIRIPAN"	"COLOMBIA, META, MAPIRIPAN"	14046	"mapiripan"	"meta"	"CO50325"
625	"NARINO"	"LA UNION"	"COLOMBIA, NARINO, LA UNION"	14092	"la union"	"narino"	"CO52399"
626	"ANTIOQUIA"	"NECOCLI"	"COLOMBIA, ANTIOQUIA, NECOCLI"	13414	"necocli"	"antioquia"	"CO05490"
627	"CHOCO"	"UNGUIA"	"COLOMBIA, CHOCO, UNGUIA"	13807	"unguia"	"choco"	"CO27800"
628	"CORDOBA"	"SAN BERNARDO DEL VIENTO"	"COLOMBIA, CORDOBA, SAN BERNARDO DEL VIENTO"	13830	"san bernardo del viento"	"cordoba"	"CO23675"
629	"TOLIMA"	"VENADILLO"	"COLOMBIA, TOLIMA, VENADILLO"	14361	"venadillo"	"tolima"	"CO73861"
