adm_1_name	adm_2_name	full_name	FAO_GAUL_code	dengue_ID	adm2_std	adm1_std	ocha_ID
TOLIMA	ESPINAL	COLOMBIA, TOLIMA, ESPINAL	14332	39	espinal	tolima	CO73268
TOLIMA	IBAGUE	COLOMBIA, TOLIMA, IBAGUE	14339	40	ibague	tolima	CO73001
VALLE	ANDALUCIA	COLOMBIA, VALLE, ANDALUCIA	14365	43	andalucia	valle	CO76036
ATLANTICO	SANTO TOMAS	COLOMBIA, ATLANTICO, SANTO TOMAS	13492	44	santo tomas	atlantico	CO08685
ATLANTICO	SOLEDAD	COLOMBIA, ATLANTICO, SOLEDAD	13493	45	soledad	atlantico	CO08758
CALDAS	VICTORIA	COLOMBIA, CALDAS, VICTORIA	13682	46	victoria	caldas	CO17867
CAQUETA	CARTAGENA DEL CHAIRA	COLOMBIA, CAQUETA, CARTAGENA DEL CHAIRA	13687	47	cartagena del chaira	caqueta	CO18150
ATLANTICO	BARANOA	COLOMBIA, ATLANTICO, BARANOA	13474	48	baranoa	atlantico	CO08078
ATLANTICO	BARRANQUILLA	COLOMBIA, ATLANTICO, BARRANQUILLA	13475	49	barranquilla	atlantico	CO08001
ATLANTICO	LURUACO	COLOMBIA, ATLANTICO, LURUACO	13480	50	luruaco	atlantico	CO08421
ATLANTICO	MALAMBO	COLOMBIA, ATLANTICO, MALAMBO	13481	51	malambo	atlantico	CO08433
ATLANTICO	PUERTO COLOMBIA	COLOMBIA, ATLANTICO, PUERTO COLOMBIA	13487	52	puerto colombia	atlantico	CO08573
CASANARE	YOPAL	COLOMBIA, CASANARE, YOPAL	13718	53	yopal	casanare	CO85001
CAUCA	FLORENCIA	COLOMBIA, CAUCA, FLORENCIA	13729	54	florencia	cauca	CO19290
CESAR	AGUACHICA	COLOMBIA, CESAR, AGUACHICA	13759	55	aguachica	cesar	CO20011
CESAR	AGUSTIN CODAZZI	COLOMBIA, CESAR, AGUSTIN CODAZZI	13760	56	agustin codazzi	cesar	CO20013
CESAR	BOSCONIA	COLOMBIA, CESAR, BOSCONIA	13763	57	bosconia	cesar	CO20060
SUCRE	SAMPUES	COLOMBIA, SUCRE, SAMPUES	14306	58	sampues	sucre	CO70670
SUCRE	SAN MARCOS	COLOMBIA, SUCRE, SAN MARCOS	14309	59	san marcos	sucre	CO70708
SUCRE	SAN PEDRO	COLOMBIA, SUCRE, SAN PEDRO	14312	60	san pedro	sucre	CO70717
ANTIOQUIA	MEDELLIN	COLOMBIA, ANTIOQUIA, MEDELLIN	13408	61	medellin	antioquia	CO05001
ARAUCA	ARAUCA	COLOMBIA, ARAUCA, ARAUCA	13467	62	arauca	arauca	CO81001
ARAUCA	SARAVENA	COLOMBIA, ARAUCA, SARAVENA	13472	63	saravena	arauca	CO81736
ARAUCA	TAME	COLOMBIA, ARAUCA, TAME	13473	64	tame	arauca	CO81794
ATLANTICO	GALAPA	COLOMBIA, ATLANTICO, GALAPA	13478	65	galapa	atlantico	CO08296
ATLANTICO	JUAN DE ACOSTA	COLOMBIA, ATLANTICO, JUAN DE ACOSTA	13479	66	juan de acosta	atlantico	CO08372
ATLANTICO	SABANAGRANDE	COLOMBIA, ATLANTICO, SABANAGRANDE	13489	67	sabanagrande	atlantico	CO08634
TOLIMA	GUAMO	COLOMBIA, TOLIMA, GUAMO	14336	68	guamo	tolima	CO73319
ATLANTICO	SABANALARGA	COLOMBIA, ATLANTICO, SABANALARGA	13490	69	sabanalarga	atlantico	CO08638
CESAR	CURUMANI	COLOMBIA, CESAR, CURUMANI	13766	70	curumani	cesar	CO20228
CESAR	LA JAGUA DE IBIRICO	COLOMBIA, CESAR, LA JAGUA DE IBIRICO	13772	71	la jagua de ibirico	cesar	CO20400
CESAR	PELAYA	COLOMBIA, CESAR, PELAYA	13776	72	pelaya	cesar	CO20550
CESAR	SAN DIEGO	COLOMBIA, CESAR, SAN DIEGO	13779	73	san diego	cesar	CO20750
CESAR	VALLEDUPAR	COLOMBIA, CESAR, VALLEDUPAR	13782	74	valledupar	cesar	CO20001
CORDOBA	CHINU	COLOMBIA, CORDOBA, CHINU	13813	75	chinu	cordoba	CO23182
CORDOBA	MONTERIA	COLOMBIA, CORDOBA, MONTERIA	13820	76	monteria	cordoba	CO23001
CORDOBA	PLANETA RICA	COLOMBIA, CORDOBA, PLANETA RICA	13822	77	planeta rica	cordoba	CO23555
CUNDINAMARCA	GIRARDOT	COLOMBIA, CUNDINAMARCA, GIRARDOT	13871	78	girardot	cundinamarca	CO25307
CUNDINAMARCA	MEDINA	COLOMBIA, CUNDINAMARCA, MEDINA	13891	79	medina	cundinamarca	CO25438
CUNDINAMARCA	PUERTO SALGAR	COLOMBIA, CUNDINAMARCA, PUERTO SALGAR	13903	80	puerto salgar	cundinamarca	CO25572
CUNDINAMARCA	VILLETA	COLOMBIA, CUNDINAMARCA, VILLETA	13946	81	villeta	cundinamarca	CO25875
GUAJIRA	URUMITA	COLOMBIA, GUAJIRA, URUMITA	13967	82	urumita	guajira	CO44855
GUAJIRA	VILLANUEVA	COLOMBIA, GUAJIRA, VILLANUEVA	13968	83	villanueva	guajira	CO44874
HUILA	ACEVEDO	COLOMBIA, HUILA, ACEVEDO	13973	84	acevedo	huila	CO41006
HUILA	CAMPOALEGRE	COLOMBIA, HUILA, CAMPOALEGRE	13979	85	campoalegre	huila	CO41132
HUILA	GARZON	COLOMBIA, HUILA, GARZON	13982	86	garzon	huila	CO41298
HUILA	LA PLATA	COLOMBIA, HUILA, LA PLATA	13989	87	la plata	huila	CO41396
HUILA	NEIVA	COLOMBIA, HUILA, NEIVA	13991	88	neiva	huila	CO41001
HUILA	PAICOL	COLOMBIA, HUILA, PAICOL	13993	89	paicol	huila	CO41518
HUILA	PALERMO	COLOMBIA, HUILA, PALERMO	13994	90	palermo	huila	CO41524
HUILA	PITAL	COLOMBIA, HUILA, PITAL	13996	91	pital	huila	CO41548
HUILA	RIVERA	COLOMBIA, HUILA, RIVERA	13998	92	rivera	huila	CO41615
HUILA	YAGUARA	COLOMBIA, HUILA, YAGUARA	14009	93	yaguara	huila	CO41885
MAGDALENA	CIENAGA	COLOMBIA, MAGDALENA, CIENAGA	14014	95	cienaga	magdalena	CO47189
MAGDALENA	SANTA MARTHA	COLOMBIA, MAGDALENA, SANTA MARTHA	14028	96	santa martha	magdalena	CO47001
META	ACACIAS	COLOMBIA, META, ACACIAS	14031	97	acacias	meta	CO50006
META	EL CASTILLO	COLOMBIA, META, EL CASTILLO	14038	98	el castillo	meta	CO50251
META	PUERTO LOPEZ	COLOMBIA, META, PUERTO LOPEZ	14051	99	puerto lopez	meta	CO50573
NORTE SANTANDER	ABREGO	COLOMBIA, NORTE SANTANDER, ABREGO	14125	100	abrego	norte santander	CO54003
NORTE SANTANDER	CONVENCION	COLOMBIA, NORTE SANTANDER, CONVENCION	14133	101	convencion	norte santander	CO54206
NORTE SANTANDER	EL ZULIA	COLOMBIA, NORTE SANTANDER, EL ZULIA	14139	102	el zulia	norte santander	CO54261
NORTE SANTANDER	LOS PATIOS	COLOMBIA, NORTE SANTANDER, LOS PATIOS	14146	103	los patios	norte santander	CO54405
NORTE SANTANDER	OCANA	COLOMBIA, NORTE SANTANDER, OCANA	14149	104	ocana	norte santander	CO54498
NORTE SANTANDER	PAMPLONA	COLOMBIA, NORTE SANTANDER, PAMPLONA	14150	105	pamplona	norte santander	CO54518
NORTE SANTANDER	SALAZAR	COLOMBIA, NORTE SANTANDER, SALAZAR	14154	106	salazar	norte santander	CO54660
NORTE SANTANDER	TIBU	COLOMBIA, NORTE SANTANDER, TIBU	14161	107	tibu	norte santander	CO54810
NORTE SANTANDER	VILLA DEL ROSARIO	COLOMBIA, NORTE SANTANDER, VILLA DEL ROSARIO	14164	108	villa del rosario	norte santander	CO54874
PUTUMAYO	PUERTO ASIS	COLOMBIA, PUTUMAYO, PUERTO ASIS	14168	109	puerto asis	putumayo	CO86568
PUTUMAYO	VALLE DEL GUAMUEZ	COLOMBIA, PUTUMAYO, VALLE DEL GUAMUEZ	14175	110	valle del guamuez	putumayo	CO86865
PUTUMAYO	VILLAGARZON	COLOMBIA, PUTUMAYO, VILLAGARZON	14176	111	villagarzon	putumayo	CO86885
QUINDIO	ARMENIA	COLOMBIA, QUINDIO, ARMENIA	14177	112	armenia	quindio	CO63001
QUINDIO	CALARCA	COLOMBIA, QUINDIO, CALARCA	14179	113	calarca	quindio	CO63130
QUINDIO	CORDOBA	COLOMBIA, QUINDIO, CORDOBA	14181	114	cordoba	quindio	CO63212
QUINDIO	LA TEBAIDA	COLOMBIA, QUINDIO, LA TEBAIDA	14184	115	la tebaida	quindio	CO63401
QUINDIO	MONTENEGRO	COLOMBIA, QUINDIO, MONTENEGRO	14185	116	montenegro	quindio	CO63470
QUINDIO	QUIMBAYA	COLOMBIA, QUINDIO, QUIMBAYA	14187	117	quimbaya	quindio	CO63594
RISARALDA	DOSQUEBRADAS	COLOMBIA, RISARALDA, DOSQUEBRADAS	14192	118	dosquebradas	risaralda	CO66170
RISARALDA	LA VIRGINIA	COLOMBIA, RISARALDA, LA VIRGINIA	14195	119	la virginia	risaralda	CO66400
RISARALDA	PEREIRA	COLOMBIA, RISARALDA, PEREIRA	14198	120	pereira	risaralda	CO66001
SANTANDER	BARBOSA	COLOMBIA, SANTANDER, BARBOSA	14209	121	barbosa	santander	CO68077
SANTANDER	BARRANCABERMEJA	COLOMBIA, SANTANDER, BARRANCABERMEJA	14211	122	barrancabermeja	santander	CO68081
SANTANDER	BUCARAMANGA	COLOMBIA, SANTANDER, BUCARAMANGA	14214	123	bucaramanga	santander	CO68001
