xmin	xmax	ocha_ID	epidemic_id	thres	duration	imax
2014-11-23	2014-12-21	CO17174	CO17174.8	0.000978501077668052	28	0.00244625269417013
2016-01-03	2016-08-21	CO17174	CO17174.10	0.000978501077668052	231	0.00538175592717429
2007-04-29	2007-07-01	CO17380	CO17380.1	0.000983442416001217	63	0.00295032724800365
2009-05-10	2011-04-24	CO17380	CO17380.2	0.000983442416001217	714	0.00557284035734023
2012-12-30	2015-02-08	CO17380	CO17380.3	0.000983442416001217	770	0.00721191105067559
2015-03-22	2015-08-02	CO17380	CO17380.4	0.000983442416001217	133	0.00262251310933658
2016-01-03	2016-02-07	CO17380	CO17380.5	0.000983442416001217	35	0.00295032724800365
2019-03-24	2019-09-08	CO17380	CO17380.6	0.000983442416001217	168	0.0059006544960073
2019-11-17	2019-12-22	CO17380	CO17380.7	0.000983442416001217	35	0.00196688483200243
2010-04-11	2010-05-23	CO17614	CO17614.1	0.000397541412891978	42	0.00119262423867593
2016-01-10	2016-09-18	CO17614	CO17614.2	0.000397541412891978	252	0.00278278989024385
2011-12-18	2012-07-15	CO18001	CO18001.1	0.000742277224684815	210	0.008016594026596
2012-12-16	2014-01-05	CO18001	CO18001.2	0.000742277224684815	385	0.00222683167405445
2014-01-26	2014-08-17	CO18001	CO18001.3	0.000742277224684815	203	0.00237528711899141
2014-11-16	2015-06-14	CO18001	CO18001.4	0.000742277224684815	210	0.00252374256392837
2015-10-04	2016-03-27	CO18001	CO18001.5	0.000742277224684815	175	0.00489902968291978
2019-04-28	2019-12-22	CO18001	CO18001.6	0.000742277224684815	238	0.00385984156836104
2007-01-28	2007-04-15	CO18150	CO18150.1	0.000746376970942441	77	0.00447826182565465
2011-12-11	2012-04-22	CO18150	CO18150.2	0.000746376970942441	133	0.00298550788376976
2014-03-09	2014-04-27	CO18150	CO18150.3	0.000746376970942441	49	0.0037318848547122
2019-05-12	2019-07-21	CO18150	CO18150.4	0.000746376970942441	70	0.00223913091282732
2019-10-27	2019-12-22	CO18150	CO18150.5	0.000746376970942441	56	0.00447826182565465
2007-01-07	2007-09-09	CO18592	CO18592.1	0.000576269018723696	245	0.00576269018723696
2009-01-25	2009-05-10	CO18592	CO18592.2	0.000576269018723696	105	0.00345761411234217
2010-02-07	2010-07-18	CO18592	CO18592.3	0.000576269018723696	161	0.0109491113557502
2010-10-10	2011-01-02	CO18592	CO18592.4	0.000576269018723696	84	0.00230507607489478
2011-12-11	2012-04-01	CO18592	CO18592.5	0.000576269018723696	112	0.00461015214978957
2013-03-31	2013-08-25	CO18592	CO18592.6	0.000576269018723696	147	0.00288134509361848
2013-09-29	2013-11-17	CO18592	CO18592.7	0.000576269018723696	49	0.00172880705617109
2014-03-02	2014-06-22	CO18592	CO18592.8	0.000576269018723696	112	0.00403388313106587
2016-01-03	2016-03-27	CO18592	CO18592.9	0.000576269018723696	84	0.00288134509361848
2019-05-12	2019-08-11	CO18592	CO18592.10	0.000576269018723696	91	0.00518642116851326
2019-10-20	2019-12-22	CO18592	CO18592.11	0.000576269018723696	63	0.00633895920596065
2007-01-14	2007-02-25	CO18753	CO18753.1	0.00127026832711678	42	0.00550449608417271
2010-01-17	2010-05-30	CO18753	CO18753.3	0.00127026832711678	133	0.00804503273840626
2011-04-17	2011-08-21	CO18753	CO18753.4	0.00127026832711678	126	0.00381080498135033
2011-10-30	2011-12-04	CO18753	CO18753.5	0.00127026832711678	35	0.00254053665423356
2012-01-15	2012-08-05	CO18753	CO18753.6	0.00127026832711678	203	0.0139729515982846
2013-01-13	2013-12-22	CO18753	CO18753.7	0.00127026832711678	343	0.00677476441128948
2014-03-16	2014-06-29	CO18753	CO18753.8	0.00127026832711678	105	0.00677476441128948
2015-02-22	2015-04-05	CO18753	CO18753.9	0.00127026832711678	42	0.00296395942993915
2015-07-05	2016-08-07	CO18753	CO18753.10	0.00127026832711678	399	0.0127026832711678
