simRound	simID	alphaRest	alphaAmp	alphaShift	infTicksCounts	avgVisitsCounts	pVisits	propSocialVisits	locPerSGCount	establishment
0.0	199.0	0.014463	0.1733	0.0847	5.0434	2.2636	0.25583	0.0199	10.4981	1.0
0.0	200.0	0.029943	0.1531	0.1961	5.0122	1.53	0.88061	0.7623	4.3383	0.99
0.0	201.0	0.022329	0.6203	0.6621	5.4158	1.7076	0.77297	0.0815	3.2211	0.93
0.0	202.0	0.024897	0.0659	0.1185	5.9362	1.7124	0.87377	0.0059	5.0337	1.0
0.0	203.0	0.003255	0.4567	0.2283	4.441	2.2604	0.77369	0.3749	5.3529	0.22
0.0	204.0	0.024699	0.7105	0.2595	4.8602	3.554	0.51305	0.2527	7.2909	1.0
0.0	205.0	0.010263	0.7405	0.9185	5.4258	1.3644	0.26879	0.3983	12.8427	0.95
0.0	206.0	0.013647	0.4147	0.3007	4.139	2.59	0.90275	0.1271	16.9923	0.99
0.0	207.0	0.025437	0.9159	0.6527	4.2994	2.414	0.94829	0.4115	4.4257	0.96
0.0	208.0	0.015663	0.3065	0.7121	4.3726	1.6284	0.73769	0.9591	3.4643	0.66
0.0	209.0	0.029895	0.8519	0.2681	4.7066	4.9732	0.93425	0.8837	7.4809	1.0
0.0	210.0	0.011217	0.6929	0.2661	5.6902	4.954	0.73373	0.4751	2.8183	1.0
0.0	211.0	0.003645	0.3203	0.5623	4.8266	2.9004	0.42197	0.7047	1.1653	0.15
0.0	212.0	0.007737	0.6761	0.1413	4.7102	4.9588	0.94145	0.4075	18.0791	1.0
0.0	213.0	0.019023	0.1757	0.4057	5.6578	1.7636	0.72419	0.4749	2.7537	0.98
0.0	214.0	0.001245	0.2481	0.8375	4.329	2.3876	0.92957	0.3939	7.0781	0.0
0.0	215.0	0.017319	0.1285	0.9115	4.4578	1.5748	0.40289	0.3583	8.0585	0.94
0.0	216.0	0.028227	0.0045	0.9193	4.6974	1.506	0.16781	0.9277	15.5255	0.96
0.0	217.0	0.020421	0.5537	0.6841	5.6754	3.77	0.58559	0.7119	16.6655	1.0
0.0	218.0	0.018717	0.3453	0.4877	4.2242	4.1524	0.26465	0.4377	8.2865	1.0
0.0	219.0	0.014127	0.7949	0.3939	5.6318	3.6948	0.31415	0.8065	16.1791	0.97
0.0	220.0	0.010497	0.2435	0.7383	5.5882	2.6988	0.37787	0.5157	6.8729	0.98
0.0	221.0	0.003345	0.0843	0.3693	5.6454	4.4932	0.88853	0.9613	14.5109	0.97
0.0	222.0	0.025551	0.2357	0.9207	5.9074	4.1676	0.53555	0.8857	18.8391	1.0
0.0	223.0	0.004281	0.4889	0.2087	5.6786	1.7956	0.76955	0.8479	6.5385	0.52
0.0	224.0	0.027567	0.6165	0.2565	4.243	1.4244	0.63041	0.0303	7.4885	0.99
0.0	225.0	0.010383	0.2119	0.2603	5.7106	4.7076	0.05549	0.0471	2.0241	1.0
0.0	226.0	0.012969	0.4679	0.7559	4.5318	2.3356	0.55643	0.1227	1.1577	0.97
0.0	227.0	0.029103	0.3311	0.6073	5.0094	1.5716	0.39443	0.0653	6.7551	0.98
0.0	228.0	0.021705	0.9487	0.5263	4.967	2.9244	0.67181	0.5087	2.1191	0.0
0.0	229.0	0.007185	0.3093	0.2205	4.897	4.1572	0.59819	0.2571	6.7703	0.99
0.0	230.0	0.029139	0.8347	0.6659	4.763	4.5852	0.46733	0.9321	7.9255	1.0
0.0	231.0	0.029613	0.7145	0.4435	5.1014	1.1484	0.84605	0.3581	4.4143	0.59
0.0	232.0	0.014361	0.3813	0.6547	5.893	1.1436	0.41495	0.1439	7.7165	0.74
0.0	233.0	0.027237	0.4359	0.1891	5.9822	2.0188	0.37895	0.7175	19.0329	1.0
0.0	234.0	0.008349	0.4667	0.7765	4.869	3.498	0.86531	0.9887	6.1091	0.93
0.0	235.0	0.028659	0.0407	0.5461	5.2566	2.01	0.80483	0.0561	1.7619	1.0
0.0	236.0	0.029517	0.3073	0.2435	4.2634	1.29	0.06431	0.3949	14.4995	0.82
0.0	237.0	0.012219	0.5799	0.9515	4.711	4.3044	0.52385	0.8043	17.6877	1.0
0.0	238.0	0.008547	0.1417	0.2009	4.3054	3.0668	0.74885	0.7785	13.3139	0.99
0.0	239.0	0.021147	0.8389	0.4565	5.9678	3.838	0.62429	0.9081	13.1391	0.97
0.0	240.0	0.009915	0.8761	0.8255	5.2626	1.3924	0.14189	0.1827	17.4521	0.82
0.0	241.0	0.019071	0.4403	0.7435	4.781	3.4172	0.54797	0.1591	16.1753	1.0
0.0	242.0	0.013749	0.0765	0.3833	4.2278	3.1676	0.61691	0.0123	2.5257	0.99
0.0	243.0	0.007623	0.4655	0.8681	4.0454	3.9028	0.84155	0.9933	11.1479	0.99
0.0	244.0	0.009063	0.3933	0.5453	5.2222	1.1852	0.56705	0.2171	18.1019	0.02
0.0	245.0	0.028095	0.8927	0.6193	4.311	3.9548	0.19931	0.2343	18.0069	0.97
0.0	246.0	2.7e-05	0.3337	0.3199	5.4366	2.986	0.21659	0.1841	13.1239	0.0
0.0	247.0	0.011835	0.7903	0.0537	5.809	4.8188	0.16691	0.3185	7.8305	1.0
0.0	248.0	0.009141	0.7307	0.5979	5.081	3.2724	0.93281	0.7485	3.2059	0.72
0.0	249.0	0.007875	0.0313	0.3399	5.033	1.9444	0.48731	0.5137	19.0785	0.86
0.0	250.0	0.003495	0.8225	0.8905	5.549	1.9196	0.33827	0.8389	12.6451	0.46
0.0	251.0	0.001659	0.1413	0.7013	5.655	4.942	0.83813	0.3053	9.0275	0.75
0.0	252.0	0.015177	0.8681	0.1537	5.673	1.9508	0.79637	0.7009	2.4003	1.0
0.0	253.0	0.020349	0.2211	0.7059	5.7026	3.7588	0.88547	0.2445	5.3111	1.0
0.0	254.0	0.009357	0.7141	0.0775	5.275	4.8404	0.75047	0.4423	6.9451	1.0
0.0	255.0	0.019887	0.0079	0.3407	4.0302	4.5068	0.12929	0.2679	16.3197	1.0
0.0	256.0	0.025743	0.9803	0.5191	4.8526	2.8556	0.63005	0.2657	16.1563	0.0
0.0	257.0	0.022965	0.0819	0.6495	5.1282	1.5836	0.80213	0.9233	2.8297	0.95
0.0	258.0	0.028311	0.3307	0.2745	5.2986	4.5708	0.51953	0.1035	3.9127	1.0
0.0	259.0	0.012675	0.9909	0.1483	5.3226	4.6828	0.50603	0.0337	2.2749	1.0
0.0	260.0	0.015483	0.2087	0.9807	4.817	3.8644	0.68261	0.3413	7.1845	1.0
