ModelType	Round	Snapshot	TrainingLoss	TrainingRMSE	ValidationRMSE
establishment	7	16	-1.1064656972885132	0.009739644365427628	0.06458048103423153
establishment	7	17	-1.1027127504348755	0.00983551514597623	0.0645316001249706
establishment	7	18	-1.1057250499725342	0.009957030008960336	0.06453967574635021
establishment	7	19	-1.1028332710266113	0.010329973435408235	0.06460067014763822
establishment	7	20	-1.1115363836288452	0.010261704009554605	0.06469657684209068
establishment	7	21	-1.1057990789413452	0.01089420513701692	0.06470112407884578
establishment	7	22	-1.1169700622558594	0.011011337212450515	0.0649661768732623
establishment	7	23	-1.1082878112792969	0.011673453979237185	0.06478628252487942
establishment	7	24	-1.1071573495864868	0.011542599790326236	0.06514945192197079
establishment	7	25	-1.1180672645568848	0.0115652821053533	0.06484190203401724
establishment	7	26	-1.1080708503723145	0.011608623839166391	0.06510995706736006
establishment	7	27	-1.1172865629196167	0.012517469211462379	0.06501376417454989
establishment	7	28	-1.1162879467010498	0.011923156131778304	0.06494884299370947
establishment	7	29	-1.1255145072937012	0.013150227469699962	0.0653011112028487
establishment	8	0	-0.8687950372695923	0.016481510368047562	0.07056891990858727
establishment	8	1	-0.9667471051216125	0.004524321985936191	0.06614993683663331
establishment	8	2	-1.0114898681640625	0.004421089630059558	0.06479296189377219
establishment	8	3	-1.0352908372879028	0.004395004266011806	0.06408737831201633
establishment	8	4	-1.057193636894226	0.004990349169913266	0.06386551027344402
